"city","state","climate"
"CONCORD","NH","Dfb"
"CORPUS CHRISTI","TX","Cfa"
"FORT WORTH","TX",NA
"DAYTON","OH","Dfa"
"DAYTONA BEACH","FL","Cfa"
"DENVER","CO","BSk"
"DES MOINES","IA","Dfa"
"DETROIT","MI","Dfa"
"DULUTH","MN","Dfb"
"EL PASO","TX","BWk"
"ELKINS","WV","Cfb"
"ERIE","PA","Dfa"
"EUGENE","OR","Csb"
"EVANSVILLE","IN","Cfa"
"FAIRBANKS","IN","Cfa"
"FARGO","ND","Dfa/Dfb"
"FLAGSTAFF","AZ","Csb"
"FLINT","MI","Dfb"
"FORT SMITH","AR","Csb"
"FORT WAYNE","IN","Dfa"
"FRESNO","CA","Csa"
"GOODLAND","KS","BSk"
"GRAND JUNCTION","CO","BSk"
"GRAND RAPIDS","MI","Dfa"
"GREAT FALLS","MT","BSk"
"GREEN BAY","WI","Dfb"
"GREENSBORO","NC","Cfa"
"HARRISBURG","PA","Cfa/Dfa"
"HARTFORD","CT", "Cfa"
"HELENA","MT","BSk"
"HONOLULU","HI","BSh"
"HOUSTON","TX","Cfa"
"HUNTSVILLE","AL","Cfa"
"INDIANAPOLIS","IN","Dfa"
"JACKSON","MS","Cfa"
"JACKSONVILLE","FL","Cfa"
"JUNEAU","AK","Dfb/Dfc"
"KANSAS CITY","MO","Cfa"
"KEY WEST","FL","Aw"
"KNOXVILLE","TN","Cfa"
"LAKE CHARLES","LA","Cfa"
"LANSING","MI","Dfb/Dfa"
"LAS VEGAS","NV","BWh"
"LEXINGTON","KY","Cfa"
"LINCOLN","NE","Dfa"
"LITTLE ROCK","AR","Cfa"
"LOS ANGELES","CA","Csb"
"LOUISVILLE","KY","Cfa"
"LUBBOCK","TX","BSk"
"MACON","MO","Dfa"
"MADISON","WI","Dfa/Dfb"
"MEDFORD","OR","Csa"
"MEMPHIS","TN","Cfa/Cf"
"MIAMI BEACH","FL","Am"
"ODESSA","TX","BSa"
"MILWAUKEE","WI","Dfa"
"ST PAUL","MN","Dfa"
"MISSOULA","MT","Dfb"
"MOBILE","AL","Cfa"
"MONTGOMERY","AL","Cfa"
"NASHVILLE","TN","Cfa"
"NEW ORLEANS","LA","Cfa"
"NEW YORK","NY","Cfa"
"NEWARK","NJ","Cfa/Dfa"
"NORFOLK","VA", "Cfa"
"NORTH PLATTE","NE","Dwa"
"OKLAHOMA CITY","OK","Cfa"
"OMAHA","NE","Dfa"
"ORLANDO","FL","Cfa"
"PADUCAH","KY","Cfa"
"PENDLETON","OR","BSk"
"PEORIA","IL","Dfa"
"PHILADELPHIA","PA","Cfa"
"PHOENIX","AZ","BWh"
"PITTSBURGH","PA","Dfb"
"POCATELLO","ID","Dfb"
"PORTLAND","ME","Dfb"
"PORTLAND","OR","Csb"
"PROVIDENCE","RI","Dfa"
"PUEBLO","CO","BSk"
"RALEIGH","NC","Cfa"
"RAPID CITY","SD","BSkw"
"RENO","NV","BSk"
"RICHMOND","CA","Csb"
"ROANOKE","VA","Cfa"
"ROCHESTER","NY","Dfa"
"ROCKFORD","IL","Dfa"
"SACRAMENTO","CA","Csa"
"ST. LOUIS","MO","Cfa"
"ST. PETERSBURG","FL","Cfa"
"ST. THOMAS","VI",NA
"SALEM","OR","Csb"
"SALT LAKE CITY","UT",NA
"SAN ANGELO","TX","BSh"
"SAN ANTONIO","CA",NA
"SAN DIEGO","CA",NA
"SAN FRANCISCO","CA","Csb"
"SAN JOSE","CA","Csb"
"SAN JUAN","PR",NA
"SANTA FE","NM",NA
"STE. MARIE","IL",NA
"SAVANNAH","GA","Cfa"
"SEATTLE","WA","Csb"
"SHREVEPORT","LA","Cfa"
"SIOUX CITY","IA",NA
"SIOUX FALLS","SD","Dfa"
"SOUTH BEND","IN","Dfa"
"SPOKANE","WA","Dsb"
"SPRINGFIELD","IL","Dfa"
"SPRINGFIELD","MO","Cfa"
"SYRACUSE","NY","Dfb"
"TALLAHASSEE","FL","Cfa"
"TAMPA","FL","Cfa"
"TOLEDO","OH","Dfa"
"TOPEKA","KS","Dfa"
"TUCSON","AZ","BWh"
"TULSA","OK","Cfa"
"TUPELO","MS","Cfa"
"WACO","TX","Cfa"
"WASHINGTON", "DC","Cfa"
"WEST PALM BEACH","FL","Af"
"WICHITA","KS","Cfa/Dfa"
"WICHITA FALLS","TX","Cfa"
"WILKES-BARRE","PA","Dfa"
"WILMINGTON","DE","Cfa"
"YAKIMA","WA","Csb"
"YOUNGSTOWN","OH","Dfb/Dfa"
"YUMA","AZ", "BWh"
