"City","State","date","D0_Hi","D0_Lo","D1_Hi","D1_Lo","D2_Hi","D2_Lo"
"CONCORD","NH","Tue Sep 21 12:16:19 2021",NA,"55","74","63","76","62"
"CORPUS CHRISTI","TX","Tue Sep 21 12:16:19 2021",NA,"71","83","67","84","69"
"FORT WORTH","TX","Tue Sep 21 12:16:19 2021",NA,"59","82","56","84","59"
"DAYTON","OH","Tue Sep 21 12:16:19 2021",NA,"58","64","49","64","48"
"DAYTONA BEACH","FL","Tue Sep 21 12:16:20 2021",NA,"74","89","73","87","73"
"DENVER","CO","Tue Sep 21 12:16:20 2021","68","43","82","48","83","48"
"DES MOINES","IA","Tue Sep 21 12:16:20 2021",NA,"47","71","45","75","56"
"DETROIT","MI","Tue Sep 21 12:16:20 2021",NA,"56","61","50","60","49"
"DULUTH","MN","Tue Sep 21 12:16:21 2021",NA,"46","66","47","67","51"
"EL PASO","TX","Tue Sep 21 12:16:21 2021","81","61","83","60","88","64"
"ELKINS","WV","Tue Sep 21 12:16:21 2021",NA,"61","72","49","61","42"
"ERIE","PA","Tue Sep 21 12:16:21 2021",NA,"65","76","57","65","52"
"EUGENE","OR","Tue Sep 21 12:16:21 2021","84","52","76","51","77","51"
"EVANSVILLE","IN","Tue Sep 21 12:16:21 2021",NA,"58","64","50","72","49"
"FAIRBANKS","IN","Tue Sep 21 12:16:21 2021",NA,"55","58","47","68","46"
"FARGO","ND","Tue Sep 21 12:16:22 2021",NA,"44","73","50","73","46"
"FLAGSTAFF","AZ","Tue Sep 21 12:16:22 2021","75","41","78","45","76","45"
"FLINT","MI","Tue Sep 21 12:16:22 2021",NA,"54","58","48","57","47"
"FORT SMITH","AR","Tue Sep 21 12:16:23 2021",NA,"55","78","51","81","55"
"FORT WAYNE","IN","Tue Sep 21 12:16:23 2021",NA,"52","58","48","60","47"
"FRESNO","CA","Tue Sep 21 12:16:23 2021","97","66","96","64","93","66"
"GOODLAND","KS","Tue Sep 21 12:16:23 2021","69","42","78","45","87","49"
"GRAND JUNCTION","CO","Tue Sep 21 12:16:23 2021","75","44","82","53","84","51"
"GRAND RAPIDS","MI","Tue Sep 21 12:16:23 2021",NA,"52","61","48","60","49"
"GREAT FALLS","MT","Tue Sep 21 12:16:24 2021","74","47","82","47","68","39"
"GREEN BAY","WI","Tue Sep 21 12:16:24 2021",NA,"50","64","48","61","46"
"GREENSBORO","NC","Tue Sep 21 12:16:24 2021",NA,"69","79","58","74","50"
"HARRISBURG","PA","Tue Sep 21 12:16:24 2021",NA,"66","77","63","71","52"
"HARTFORD","CT","Tue Sep 21 12:16:24 2021",NA,"63","77","67","75","63"
"HELENA","MT","Tue Sep 21 12:16:24 2021","73","46","80","49","69","44"
"HONOLULU","HI","Tue Sep 21 12:16:24 2021","89","75","87","76","88","74"
"HOUSTON","TX","Tue Sep 21 12:16:25 2021",NA,"67","83","64","79","59"
"HUNTSVILLE","AL","Tue Sep 21 12:16:25 2021",NA,"62","72","51","71","50"
"INDIANAPOLIS","IN","Tue Sep 21 12:16:25 2021",NA,"55","62","50","64","49"
"JACKSON","MS","Tue Sep 21 12:16:25 2021",NA,"62","78","54","77","54"
"JACKSONVILLE","FL","Tue Sep 21 12:16:25 2021",NA,"75","89","70","83","69"
"JUNEAU","AK","Tue Sep 21 12:16:25 2021",NA,NA,NA,NA,NA,NA
"KANSAS CITY","MO","Tue Sep 21 12:16:26 2021",NA,"51","72","49","77","59"
"KEY WEST","FL","Tue Sep 21 12:16:26 2021",NA,"80","88","79","88","80"
"KNOXVILLE","TN","Tue Sep 21 12:16:26 2021",NA,"63","70","50","70","48"
"LAKE CHARLES","LA","Tue Sep 21 12:16:26 2021",NA,"67","81","57","79","56"
"LANSING","MI","Tue Sep 21 12:16:26 2021",NA,"51","55","47","58","47"
"LAS VEGAS","NV","Tue Sep 21 12:16:26 2021","93","70","97","72","96","72"
"LEXINGTON","KY","Tue Sep 21 12:16:27 2021",NA,"57","62","48","64","47"
"LINCOLN","NE","Tue Sep 21 12:16:27 2021",NA,"45","73","46","80","56"
"LITTLE ROCK","AR","Tue Sep 21 12:16:27 2021",NA,"57","78","52","79","53"
"LOS ANGELES","CA","Tue Sep 21 12:16:27 2021","92","64","93","65","84","63"
"LOUISVILLE","KY","Tue Sep 21 12:16:28 2021",NA,"56","61","50","67","50"
"LUBBOCK","TX","Tue Sep 21 12:16:28 2021",NA,"51","79","54","86","58"
"MACON","MO","Tue Sep 21 12:16:28 2021",NA,"47","69","43","72","51"
"MADISON","WI","Tue Sep 21 12:16:28 2021",NA,"53","62","45","64","47"
"MEDFORD","OR","Tue Sep 21 12:16:28 2021","90","54","83","50","87","54"
"MEMPHIS","TN","Tue Sep 21 12:16:28 2021",NA,"58","74","53","74","54"
"MIAMI BEACH","FL","Tue Sep 21 12:16:29 2021",NA,"80","87","79","87","79"
"ODESSA","TX","Tue Sep 21 12:16:29 2021",NA,"56","81","56","89","59"
"MILWAUKEE","WI","Tue Sep 21 12:16:29 2021",NA,"53","65","47","63","49"
"ST PAUL","MN","Tue Sep 21 12:16:29 2021",NA,"47","68","46","71","52"
"MISSOULA","MT","Tue Sep 21 12:16:29 2021","72","43","78","44","72","42"
"MOBILE","AL","Tue Sep 21 12:16:30 2021",NA,"72","82","59","79","58"
"MONTGOMERY","AL","Tue Sep 21 12:16:30 2021",NA,"70","78","57","76","54"
"NASHVILLE","TN","Tue Sep 21 12:16:30 2021",NA,"60","70","51","70","49"
"NEW ORLEANS","LA","Tue Sep 21 12:16:30 2021",NA,"70","81","63","78","64"
"NEW YORK","NY","Tue Sep 21 12:16:30 2021",NA,"70","79","70","73","64"
"NEWARK","NJ","Tue Sep 21 12:16:31 2021",NA,"68","79","69","75","62"
"NORFOLK","VA","Tue Sep 21 12:16:31 2021",NA,"72","84","70","79","63"
"NORTH PLATTE","NE","Tue Sep 21 12:16:31 2021",NA,"36","78","47","83","51"
"OKLAHOMA CITY","OK","Tue Sep 21 12:16:31 2021",NA,"54","79","54","84","61"
"OMAHA","NE","Tue Sep 21 12:16:31 2021",NA,"45","72","48","78","57"
"ORLANDO","FL","Tue Sep 21 12:16:32 2021",NA,"74","89","74","88","74"
"PADUCAH","KY","Tue Sep 21 12:16:32 2021",NA,"56","69","50","72","49"
"PENDLETON","OR","Tue Sep 21 12:16:32 2021","81","48","77","45","74","45"
"PEORIA","IL","Tue Sep 21 12:16:32 2021",NA,"54","69","49","72","51"
"PHILADELPHIA","PA","Tue Sep 21 12:16:33 2021",NA,"68","81","68","76","61"
"PHOENIX","AZ","Tue Sep 21 12:16:33 2021","101","76","101","77","100","78"
"PITTSBURGH","PA","Tue Sep 21 12:16:33 2021",NA,"67","78","56","65","50"
"POCATELLO","ID","Tue Sep 21 12:16:33 2021","70","44","77","48","72","46"
