"CITY","STATE","LAT","LON","CLIMATE"
"CONCORD","NH","43.2N","71.5W","Dfb"
"CORPUS_CHRISTI","TX","27.77N","97.51W","Cfa"
"DALLAS_FT_WORTH","TX","32.85N","96.86W",NA
"DAYTON","OH","39.83N","84.05W","Dfa"
"DAYTONA_BEACH","FL","29.17N","81.07W","Cfa"
"DENVER","CO","39.9N","105.1W","BSk"
"DES_MOINES","IA","41.53N","93.65W","Dfa"
"DETROIT","MI","42.41N","83.01W","Dfa"
"DULUTH","MN","46.72N","92.04W","Dfb"
"EL_PASO","TX","31.81N","106.38W","BWk"
"ELKINS","WV","38.89N","79.85W","Cfb"
"ERIE","PA","42.08N","80.18W","Dfa"
"EUGENE","OR","44.13333N","123.21444W","Csb"
"EVANSVILLE","IN","38.04N","87.52W","Cfa"
"FAIRBANKS","IN","39.01N","87.65W","Cfa"
"FARGO","ND","46.93N","96.81W","Dfa/Dfb"
"FLAGSTAFF","AZ","35.14433N","111.66637W","Csb"
"FLINT","MI","42.97N","83.75W","Dfb"
"FORT_SMITH","AR","35.33N","94.37W","Csb"
"FORT_WAYNE","IN","40.97N","85.21W","Dfa"
"FRESNO","CA","36.78N","119.71944W","Csa"
"GOODLAND","KS","39.37N","101.69W","BSk"
"GRAND_JUNCTION","CO","39.13389N","108.53861W","BSk"
"GRAND_RAPIDS","MI","42.88N","85.52W","Dfa"
"GREAT_FALLS","MT","47.47333N","111.38222W","BSk"
"GREEN_BAY","WI","44.48N","88.14W","Dfb"
"GREENSBORO","NC","36.1N","79.94W","Cfa"
"HARRISBURG","PA","40.22N","76.86W","Cfa/Dfa"
"HARTFORD_SPGFLD","CT","41.74N","72.65W"," Cfa"
"HELENA","MT","46.60445N","111.9892W","BSk"
"HONOLULU","HI","21.33N","157.94W","BSh"
"HOUSTON","TX","29.64N","95.28W","Cfa"
"HUNTSVILLE","AL","34.68N","86.68W","Cfa"
"INDIANAPOLIS","IN","39.73N","86.28W","Dfa"
"JACKSON","MS","32.33N","90.22W","Cfa"
"JACKSONVILLE","FL","30.23N","81.67W","Cfa"
"JUNEAU","AK","58.35N","134.58W","Dfb/Dfc"
"KANSAS_CITY","MO","39.12N","94.6W","Cfa"
"KEY_WEST","FL","24.56N","81.76W","Aw"
"KNOXVILLE","TN","35.82N","83.99W","Cfa"
"LAKE_CHARLES","LA","30.13N","93.23W","Cfa"
"LANSING","MI","42.78N","84.6W","Dfb/Dfa"
"LAS_VEGAS","NV","36.21205N","115.19395W","BWh"
"LEXINGTON","KY","38.03N","84.61W","Cfa"
"LINCOLN","NE","40.83N","96.76W","Dfa"
"LITTLE_ROCK","AR","34.73N","92.24W","Cfa"
"LOS_ANGELES","CA","34.02355N","118.29122W","Csb"
"LOUISVILLE","KY","38.17N","85.74W","Cfa"
"LUBBOCK","TX","33.67N","101.82W","BSk"
"MACON","MO","40.1N","92.54W","Dfa"
"MADISON","WI","43.14N","89.35W","Dfa/Dfb"
"MEDFORD","OR","42.37503N","122.87696W","Csa"
"MEMPHIS","TN","35.06N","89.99W","Cfa/Cf"
"MIAMI_BEACH","FL","25.91N","80.28W","Am"
"MIDLAND_ODESSA","TX","32.04N","102.1W","BSa"
"MILWAUKEE","WI","42.96N","87.9W","Dfa"
"MISSOULA","MT","46.92083N","114.0925W","Dfb"
"MOBILE","AL","30.61N","88.06W","Cfa"
"MONTGOMERY","AL","32.3N","86.41W","Cfa"
"MPLS_ST_PAUL","MN","44.93N","93.06W","Dfa"
"NASHVILLE","TN","36.12N","86.69W","Cfa"
"NEW_ORLEANS","LA","30.05N","90.03W","Cfa"
"NEW_YORK_CITY","NY","40.78N","73.97W","Cfa"
"NEWARK","NJ","40.68N","74.17W","Cfa/Dfa"
"NORFOLK","VA","36.93N","76.3W"," Cfa"
"NORTH_PLATTE","NE","41.12N","100.67W","Dwa"
"OKLAHOMA_CITY","OK","35.39N","97.6W","Cfa"
"OMAHA","NE","41.31N","95.9W","Dfa"
"ORLANDO","FL","28.55N","81.34W","Cfa"
"PADUCAH","KY","37.06N","88.77W","Cfa"
"PENDLETON","OR","45.69757N","118.83444W","BSk"
"PEORIA","IL","40.67N","89.68W","Dfa"
"PHILADELPHIA","PA","39.87N","75.23W","Cfa"
"PHOENIX","AZ","33.427799N","112.003465W","BWh"
"PITTSBURGH","PA","40.36N","79.92W","Dfb"
"POCATELLO","ID","42.88987N","112.43237W","Dfb"
"PORTLAND","ME","43.64N","70.3W","Dfb"
"PORTLAND","OR","45.59578N","122.60917W","Csb"
"PROVIDENCE","RI","41.72N","71.43W","Dfa"
"PUEBLO","CO","38.29N","104.51W","BSk"
"RALEIGH_DURHAM","NC","35.89N","78.78W","Cfa"
"RAPID_CITY","SD","44.05N","103.05W","BSkw"
"RENO","NV","39.546N","119.826W","BSk"
"RICHMOND","CA","37.8771N","122.2486W","Csb"
"ROANOKE","VA","37.32N","79.97W","Cfa"
"ROCHESTER","NY","43.12N","77.68W","Dfa"
"ROCKFORD","IL","42.19N","89.09W","Dfa"
"SACRAMENTO","CA","38.50674N","121.49597W","Csa"
"SALEM","OR","44.90493N","123.00096W","Csb"
"SALT_LAKE_CITY","UT","40.77069N","111.96503W","Cfa"
"SAN_ANGELO","TX","31.35N","100.49W","BSh"
"SAN_ANTONIO","CA","38.14178N","122.55463W","Csb"
"SAN_DIEGO","CA","32.73361N","117.18306W","Csa"
"SAN_FRANCISCO","CA","37.77056N","122.42694W","Csb"
"SAN_JOSE","CA","37.35917N","121.92417W","Csb"
"SAN_JUAN","PR","18.45N","66W","Bwk"
"SANTA_FE","NM","35.61N","106.1W","Bsk"
"SAVANNAH","GA","32.02N","81.15W","Cfa"
"SEATTLE","WA","47.65N","122.31W","Csb"
"SHREVEPORT","LA","32.45N","93.82W","Cfa"
"SIOUX_CITY","IA","42.4N","96.38W","Dfa"
"SIOUX_FALLS","SD","43.58N","96.75W","Dfa"
"SOUTH_BEND","IN","41.71N","86.32W","Dfa"
"SPOKANE","WA","47.68556N","117.32028W","Dsb"
"SPRINGFIELD","IL","39.85N","89.68W","Dfa"
"SPRINGFIELD","MO","37.24N","93.39W","Cfa"
"ST_LOUIS","MO","38.75N","90.37W","Cfa"
"ST_PETERSBURG","FL","27.77N","82.63W","Cfa"
"ST_STE_MARIE","IL","38.72N","88.18W","Dsb"
"ST_THOMAS","VI","18.34N","64.97W","Aw"
"SYRACUSE","NY","43.11N","76.1W","Dfb"
"TALLAHASSEE","FL","30.4N","84.35W","Cfa"
"TAMPA","FL","27.96N","82.54W","Cfa"
"TOLEDO","OH","41.74N","83.66W","Dfa"
"TOPEKA","KS","39.07N","95.63W","Dfa"
"TUCSON","AZ","32.16667N","110.88333W","BWh"
"TULSA","OK","36.2N","95.89W","Cfa"
"TUPELO","MS","34.27N","88.77W","Cfa"
"W_PALM_BEACH","FL","26.69N","80.1W","Af"
"WACO","TX","31.62N","97.23W","Cfa"
"WASHINGTON_DC","MD","38.85N","77.03W","Cfa"
"WICHITA","KS","37.65N","97.43W","Cfa/Dfa"
"WICHITA_FALLS","TX","33.98N","98.49W","Cfa"
"WILKES_BARRE","PA","41.34N","75.73W","Dfa"
"WILMINGTON","DE","39.67N","75.61W","Cfa"
"YAKIMA","WA","46.56402N","120.53484W","Csb"
"YOUNGSTOWN","OH","41.25N","80.67W","Dfb/Dfa"
"YUMA","AZ","32.65944N","114.59306W","BWh"
