"CITY","STATE","LAT","LON","KOPPEN","ELEVATION","ELEVATION_CHANGE","DISTANCE_TO_COAST","WIND"
"ABILENE","TX",32.41,-99.68,"Cfa",545.46,46.86,328.89,4.43
"AKRON_CANTON","OH",40.92,-81.44,"Dfa",370.43,79.78,329.7,4.28
"ALBANY","NY",42.75,-73.8,"Dfb",84.99,53.9,99.8,3.28
"ALBUQUERQUE","NM",35.04,-106.61,"BSk",1619.93,676.9,518.82,3.04
"ALLENTOWN","PA",40.57,-75.49,"Dfa",117.73,130.61,48.4,3.34
"AMARILLO","TX",35.22,-101.72,"BSk",1098.16,134.81,568.23,5.14
"ANCHORAGE","AK",61.17,-150,"Dfc",35.47,189.77,1744.52,4.41
"ASHEVILLE","NC",35.43,-82.54,"Cfb",647.22,279.69,230.86,3.79
"ATLANTA","GA",33.78,-84.52,"Cfa",245.62,86.78,249.43,2.82
"ATLANTIC_CITY","NJ",39.45,-74.57,"Cfa",18.07,8.61,6.44,2.75
"AUGUSTA","GA",33.47,-82.04,"Cfa",129.48,74.7,103.96,2.53
"AUGUSTA","ME",44.32,-69.8,"Dfb",93.78,104.53,18.03,4.03
"AUSTIN","TX",30.32,-97.77,"Cfa",197.53,101.44,134.18,2.3
"BALTIMORE","MD",39.17,-76.68,"Cfa",46.05,140.36,7.33,3.65
"BANGOR","ME",44.8,-68.82,"Dfb",45.42,47.59,16.51,3.71
"BATON_ROUGE","LA",30.54,-91.15,"Cfa",20.2,14.86,55.37,3.53
"BECKLEY","WV",37.8,-81.12,"Cfb",741.83,169.8,263.14,4.84
"BEMIDJI","MN",47.51,-94.93,"Dfb",422.09,53.17,1211.39,4.33
"BETHEL","AK",60.7922,-161.7558,"Dfc",3.3,221.94,2490.13,4.78
"BILLINGS","MT",45.48,-108.32,"BSk",1251.73,300.37,973.14,4.27
"BIRMINGHAM","AL",33.57,-86.75,"Cfa",190.93,42.83,205.33,2.25
"BISMARCK","ND",46.8083,-100.7837,"Dfb",516.65,104.16,1241.7,2.72
"BOISE","ID",43.56704,-116.24053,"Csb",860.46,653.12,494.82,3.22
"BOSTON","MA",42.36,-71.01,"Dfa",3.17,117.39,0.34,3.64
"BRIDGEPORT","CT",41.16,-73.13,"Cfa",1.32,61.62,0.93,3.92
"BROWNSVILLE","TX",25.91,-97.42,"Cfa",5.87,7.34,12.9,4.02
"BUFFALO","NY",42.94,-78.74,"Dfb",216.13,89.29,292.95,2.78
"BUFFALO","WY",44.38122,-106.71947,"BSk",1503.84,955.49,1009.04,4
"BURLINGTON","VT",44.47,-73.15,"Dfb",100.61,273.8,70.64,3.86
"CAGUAS","PR",18.45,-66,"Am",0,2.2,409.87,NA
"CARIBOU","ID",42.52792,-111.40374,"Dfb",1913.69,566.36,759.94,2.44
"CASPER","WY",42.8975,-106.47306,"BSk",1620.77,708.79,926.95,4.6
"CEDAR_RAPIDS","IA",41.88,-91.72,"Dfa",253.57,32.34,799.68,4.54
"CHARLESTON","SC",32.9,-80.04,"Cfa",12.32,11.7,7.44,2.99
"CHARLESTON","WV",38.38,-81.59,"Cfa",276.97,18.08,291.98,3.85
"CHARLOTTE","NC",35.21,-80.95,"Cfa",212.82,26.78,171.57,3.28
"CHARLOTTESVILLE","VA",38.14,-78.46,"Cfa",187.9,521.06,78.4,3.15
"CHATTANOOGA","TN",35.03,-85.2,"Cfa",206.77,375.35,319.87,2.27
"CHEYENNE","WY",41.16,-104.81,"BSk",1856.13,232.57,893.67,4.94
"CHICAGO","IL",41.78,-87.76,"Dfa",188.14,13.69,754.01,2.62
"CINCINNATI","OH",39.11,-84.42,"Cfa",145.68,109.13,489.49,2.84
"CLEVELAND","OH",41.53,-81.67,"Dfa",173.26,195.88,364.92,5.64
"CLOVIS","NM",34.38,-103.32,"BSk",1303.25,82.5899999999999,601.39,4.76
"COLORADO_SPGS","CO",38.81,-104.69,"BSk",1880.21,321.24,781.99,3.34
"COLUMBIA","SC",33.97,-80.99,"Cfa",55.18,69.96,99.14,2.17
"COLUMBUS","GA",32.52,-84.94,"Cfa",120.54,64.01,157.82,2.17
"COLUMBUS","OH",39.99,-82.88,"Cfa",245.88,94.74,395.9,2.96
"CONCORD","NH",43.2,-71,"Dfb",57.42,116.5,19.2,2.35
"CORAL_BAY","VI",18.348,-64.7132,"Am",7.96,6.72,491.9,NA
"CORPUS_CHRISTI","TX",27.77,-97.5,"Cfa",11.61,19.52,4.59,3.91
"CRUZ_BAY","VI",18.34,-64.97,"Am",6.26,5.02,476.25,NA
"CUMBERLAND","MD",39.62,-78.76,"Cfa",228.11,548.8,124.76,2.88
"DALLAS_FT_WORTH","TX",32.85,-96.8,"Cfa",166.9,28.06,245.57,2.55
"DAYTON","OH",39.83,-84,"Cfa",258.56,72.72,468.33,3.84
"DAYTONA_BEACH","FL",29.17,-81,"Cfa",1.24,10.24,2.86,3.07
"DENVER","CO",39.9,-105,"BSk",1644.74,209.49,819.7,2.01
"DES_MOINES","IA",41.53,-93.6,"Dfa",287.16,52.33,796.63,2.97
