"date","city","state","high_or_low","forecast_hours_before","observed_temp","forecast_temp","observed_precip","forecast_outlook"
"2021-01-30","ST_LOUIS",NA,"high",48,42,NA,1.27,NA
"2021-01-30","ST_LOUIS",NA,"high",36,42,NA,1.27,NA
"2021-01-30","ST_LOUIS",NA,"high",24,42,NA,1.27,NA
"2021-01-30","ST_LOUIS",NA,"high",12,42,45,1.27,"RAIN"
"2021-01-30","ST_LOUIS",NA,"low",48,37,NA,1.27,NA
"2021-01-30","ST_LOUIS",NA,"low",36,37,NA,1.27,NA
"2021-01-30","ST_LOUIS",NA,"low",24,37,37,1.27,"RAIN"
"2021-01-30","ST_LOUIS",NA,"low",12,37,36,1.27,"SNOSHW"
"2021-01-31","ST_LOUIS",NA,"high",48,37,NA,0.03,NA
"2021-01-31","ST_LOUIS",NA,"high",36,37,40,0.03,"RAIN"
"2021-01-31","ST_LOUIS",NA,"high",24,37,37,0.03,"SNOSHW"
"2021-01-31","ST_LOUIS",NA,"high",12,37,37,0.03,"RNSNOW"
"2021-01-31","ST_LOUIS",NA,"low",48,33,30,0.03,"RAIN"
"2021-01-31","ST_LOUIS",NA,"low",36,33,30,0.03,"MOCLDY"
"2021-01-31","ST_LOUIS",NA,"low",24,33,29,0.03,"RNSNOW"
"2021-01-31","ST_LOUIS",NA,"low",12,33,29,0.03,"CLOUDY"
"2021-02-01","ST_LOUIS",NA,"high",48,34,37,0,"MOCLDY"
"2021-02-01","ST_LOUIS",NA,"high",36,34,36,0,"MOCLDY"
"2021-02-01","ST_LOUIS",NA,"high",24,34,37,0,"CLOUDY"
"2021-02-01","ST_LOUIS",NA,"high",12,34,35,0,"CLOUDY"
"2021-02-01","ST_LOUIS",NA,"low",48,28,26,0,"MOCLDY"
"2021-02-01","ST_LOUIS",NA,"low",36,28,25,0,"PTCLDY"
"2021-02-01","ST_LOUIS",NA,"low",24,28,25,0,"CLOUDY"
"2021-02-01","ST_LOUIS",NA,"low",12,28,25,0,"CLOUDY"
