"date","city","state","forecast_hi_2_prev_PM","forecast_lo_prev_AM","forecast_hi_prev_AM","forecast_lo_prev_PM","forecast_hi_prev_PM","forecast_lo_current_AM","forecast_hi_current_AM","forecast_lo_current_PM","actual_lo_current_PM","actual_hi_current_PM","actual_lo_next_AM","actual_hi_next_AM"
"2021-01-30","ST_LOUIS",NA,NA,NA,NA,NA,NA,37,45,36,35,42,37,42
"2021-01-31","ST_LOUIS",NA,NA,30,40,30,37,29,37,29,36,37,33,37
"2021-02-01","ST_LOUIS",NA,37,26,36,25,37,25,35,25,33,34,28,34
"2021-02-02","ST_LOUIS",NA,39,25,38,25,37,26,38,25,28,40,24,40
"2021-02-03","ST_LOUIS",NA,46,36,49,38,50,38,48,38,24,46,38,46
"2021-02-04","ST_LOUIS",NA,51,24,48,24,44,26,46,26,38,44,25,44
"2021-02-05","ST_LOUIS",NA,39,23,40,23,40,20,44,21,25,45,20,45
"2021-02-06","ST_LOUIS",NA,34,10,33,9,30,7,32,7,20,30,6,30
"2021-02-07","ST_LOUIS",NA,21,17,21,17,20,16,18,12,5,16,14,16
"2021-02-08","ST_LOUIS",NA,31,17,28,15,27,18,23,15,14,23,14,23
"2021-02-09","ST_LOUIS",NA,25,19,24,18,21,17,21,16,14,19,15,19
"2021-02-10","ST_LOUIS",NA,24,16,23,17,22,15,20,15,15,19,14,19
"2021-02-11","ST_LOUIS",NA,22,11,21,10,23,10,22,10,14,22,13,22
"2021-02-12","ST_LOUIS",NA,20,8,20,8,19,6,17,6,12,19,5,19
"2021-02-13","ST_LOUIS",NA,15,1,15,0,13,0,13,0,4,10,-1,10
"2021-02-14","ST_LOUIS",NA,9,1,7,1,6,0,7,NA,NA,NA,0,8
"2021-02-15","ST_LOUIS",NA,9,-2,7,NA,NA,-2,6,-2,0,4,-3,4
"2021-02-16","ST_LOUIS",NA,NA,6,15,6,15,7,14,4,-3,16,3,16
"2021-02-17","ST_LOUIS",NA,22,12,21,12,19,10,18,10,3,19,16,19
"2021-02-18","ST_LOUIS",NA,22,5,23,5,24,6,24,4,14,25,3,25
"2021-02-19","ST_LOUIS",NA,26,17,29,16,28,15,29,14,3,32,15,32
"2021-02-20","ST_LOUIS",NA,37,26,39,27,38,26,38,27,15,39,27,39
"2021-02-21","ST_LOUIS",NA,42,30,44,31,42,32,45,32,27,49,36,49
"2021-02-22","ST_LOUIS",NA,46,35,50,35,54,36,53,36,36,56,38,56
"2021-02-23","ST_LOUIS",NA,62,39,62,40,66,43,67,42,38,66,50,66
"2021-02-24","ST_LOUIS",NA,50,29,50,28,51,29,59,30,48,58,31,58
"2021-02-25","ST_LOUIS",NA,46,29,46,30,47,32,47,34,31,49,30,49
