"CITY","STATE","LAT","LON","CLIMATE"
"CONCORD","NH",43.2,-71,"Dfb"
"CORPUS_CHRISTI","TX",27.77,-97.5,"Cfa"
"DALLAS_FT_WORTH","TX",32.85,-96.8,NA
"DAYTON","OH",39.83,-84,"Dfa"
"DAYTONA_BEACH","FL",29.17,-81,"Cfa"
"DENVER","CO",39.9,-105,"BSk"
"DES_MOINES","IA",41.53,-93.6,"Dfa"
"DETROIT","MI",42.41,-83,"Dfa"
"DULUTH","MN",46.72,-92,"Dfb"
"EL_PASO","TX",31.81,-106.3,"BWk"
"ELKINS","WV",38.89,-79.8,"Cfb"
"ERIE","PA",42.08,-80.1,"Dfa"
"EUGENE","OR",44.13333,-123.2144,"Csb"
"EVANSVILLE","IN",38.04,-87.5,"Cfa"
"FAIRBANKS","IN",39.01,-87.6,"Cfa"
"FARGO","ND",46.93,-96.8,"Dfa/Dfb"
"FLAGSTAFF","AZ",35.14433,-111.6663,"Csb"
"FLINT","MI",42.97,-83.7,"Dfb"
"FORT_SMITH","AR",35.33,-94.3,"Csb"
"FORT_WAYNE","IN",40.97,-85.2,"Dfa"
"FRESNO","CA",36.78,-119.7194,"Csa"
"GOODLAND","KS",39.37,-101.6,"BSk"
"GRAND_JUNCTION","CO",39.13389,-108.5386,"BSk"
"GRAND_RAPIDS","MI",42.88,-85.5,"Dfa"
"GREAT_FALLS","MT",47.47333,-111.3822,"BSk"
"GREEN_BAY","WI",44.48,-88.1,"Dfb"
"GREENSBORO","NC",36.1,-79.9,"Cfa"
"HARRISBURG","PA",40.22,-76.8,"Cfa/Dfa"
"HARTFORD_SPGFLD","CT",41.74,-72.6," Cfa"
"HELENA","MT",46.60445,-111.989,"BSk"
"HONOLULU","HI",21.33,-157.9,"BSh"
"HOUSTON","TX",29.64,-95.2,"Cfa"
"HUNTSVILLE","AL",34.68,-86.6,"Cfa"
"INDIANAPOLIS","IN",39.73,-86.2,"Dfa"
"JACKSON","MS",32.33,-90.2,"Cfa"
"JACKSONVILLE","FL",30.23,-81.6,"Cfa"
"JUNEAU","AK",58.35,-134.5,"Dfb/Dfc"
"KANSAS_CITY","MO",39.12,-94,"Cfa"
"KEY_WEST","FL",24.56,-81.7,"Aw"
"KNOXVILLE","TN",35.82,-83.9,"Cfa"
"LAKE_CHARLES","LA",30.13,-93.2,"Cfa"
"LANSING","MI",42.78,-84,"Dfb/Dfa"
"LAS_VEGAS","NV",36.21205,-115.1939,"BWh"
"LEXINGTON","KY",38.03,-84.6,"Cfa"
"LINCOLN","NE",40.83,-96.7,"Dfa"
"LITTLE_ROCK","AR",34.73,-92.2,"Cfa"
"LOS_ANGELES","CA",34.02355,-118.2912,"Csb"
"LOUISVILLE","KY",38.17,-85.7,"Cfa"
"LUBBOCK","TX",33.67,-101.8,"BSk"
"MACON","MO",40.1,-92.5,"Dfa"
"MADISON","WI",43.14,-89.3,"Dfa/Dfb"
