"City","State","date","D0_Hi","D0_Lo","D1_Hi","D1_Lo","D2_Hi","D2_Lo","Lat","Lon"
"CONCORD","NH","Tue Sep 28 10:27:00 2021","67","44","64","46","60","41",43.2,-71.5
"CORPUS CHRISTI","TX","Tue Sep 28 10:27:01 2021","88","76","88","78","86","77",27.77,-97.51
"FORT WORTH","TX","Tue Sep 28 10:27:02 2021","92","71","86","71","86","69",32.83,-97.36
"DAYTON","OH","Tue Sep 28 10:27:03 2021","81","53","79","54","78","51",39.83,-84.05
"DAYTONA BEACH","FL","Tue Sep 28 10:27:04 2021","86","66","87","69","88","73",29.17,-81.07
"DENVER","CO","Tue Sep 28 10:27:06 2021","82","53","66","46","59","46",39.9,-105.1
"DES MOINES","IA","Tue Sep 28 10:27:06 2021","91","63","87","65","81","63",41.53,-93.65
"DETROIT","MI","Tue Sep 28 10:27:07 2021","71","53","72","51","69","48",42.41,-83.01
"DULUTH","MN","Tue Sep 28 10:27:07 2021","70","55","69","55","71","58",46.72,-92.04
"EL PASO","TX","Tue Sep 28 10:27:08 2021","79","62","83","61","73","55",31.81,-106.38
"ELKINS","WV","Tue Sep 28 10:27:09 2021","76","53","73","46","71","41",38.89,-79.85
"ERIE","PA","Tue Sep 28 10:27:10 2021","67","52","68","52","63","47",42.08,-80.18
"EUGENE","OR","Tue Sep 28 10:27:11 2021","59","45","67","52","72","50",44.13333,-123.21444
"EVANSVILLE","IN","Tue Sep 28 10:27:12 2021","90","63","89","64","86","61",38.04,-87.52
"FAIRBANKS","IN","Tue Sep 28 10:27:13 2021","88","59","88","60","85","57",39.01,-87.65
"FARGO","ND","Tue Sep 28 10:27:14 2021","89","63","86","61","74","58",46.93,-96.81
"FLAGSTAFF","AZ","Tue Sep 28 10:27:14 2021","63","42","61","37","61","37",35.14433,-111.66637
"FLINT","MI","Tue Sep 28 10:27:14 2021","69","47","73","48","68","45",42.97,-83.75
"FORT SMITH","AR","Tue Sep 28 10:27:16 2021","92","70","86","69","84","68",35.33,-94.37
"FORT WAYNE","IN","Tue Sep 28 10:27:16 2021","76","50","76","50","76","47",40.97,-85.21
"FRESNO","CA","Tue Sep 28 10:27:16 2021","76","52","78","56","85","58",36.78,-119.71944
"GOODLAND","KS","Tue Sep 28 10:27:18 2021","86","54","79","48","66","46",39.37,-101.69
"GRAND JUNCTION","CO","Tue Sep 28 10:27:18 2021","75","53","63","46","67","47",39.13389,-108.53861
"GRAND RAPIDS","MI","Tue Sep 28 10:27:19 2021","73","50","77","51","75","49",42.88,-85.52
"GREAT FALLS","MT","Tue Sep 28 10:27:20 2021","65","37","63","36","72","43",47.47333,-111.38222
"GREEN BAY","WI","Tue Sep 28 10:27:21 2021","71","50","75","53","73","54",44.48,-88.14
"GREENSBORO","NC","Tue Sep 28 10:27:22 2021","85","62","81","58","79","54",36.1,-79.94
"HARRISBURG","PA","Tue Sep 28 10:27:23 2021","74","51","68","51","66","46",NA,NA
"HARTFORD","CT","Tue Sep 28 10:27:24 2021","74","49","66","49","62","43",41.74,-72.65
"HELENA","MT","Tue Sep 28 10:27:25 2021","60","37","60","38","70","44",46.60445,-111.9892
"HONOLULU","HI","Tue Sep 28 10:27:25 2021",NA,NA,NA,NA,NA,NA,21.33,-157.94
