"City","State","Date","Time","D0_Hi","D0_Lo","D1_Hi","D1_Lo","D2_Hi","D2_Lo"
"CONCORD","NH",2021-10-05,"11:33:20",NA,"47","70","46","73","46"
"CORPUS CHRISTI","TX",2021-10-05,"11:33:21","88","71","87","71","87","71"
"FORT WORTH","TX",2021-10-05,"11:33:21","86","59","85","62","90","67"
"DAYTON","OH",2021-10-05,"11:33:21",NA,"63","79","65","76","63"
"DAYTONA BEACH","FL",2021-10-05,"11:33:23",NA,"75","87","74","89","73"
"DENVER","CO",2021-10-05,"11:33:23","82","49","78","48","78","49"
"DES MOINES","IA",2021-10-05,"11:33:23","75","60","75","62","76","59"
"DETROIT","MI",2021-10-05,"11:33:24",NA,"60","73","62","73","64"
"DULUTH","MN",2021-10-05,"11:33:24","65","54","68","57","68","58"
"EL PASO","TX",2021-10-05,"11:33:25","86","64","85","64","86","63"
"ELKINS","WV",2021-10-05,"11:33:26",NA,"58","77","59","75","58"
"ERIE","PA",2021-10-05,"11:33:27",NA,"60","75","63","76","63"
"EUGENE","OR",2021-10-05,"11:33:28","57","43","58","41","59","38"
"EVANSVILLE","IN",2021-10-05,"11:33:28","81","66","78","65","77","62"
"FAIRBANKS","IN",2021-10-05,"11:33:29",NA,"63","75","63","74","60"
"FARGO","ND",2021-10-05,"11:33:30","81","56","78","58","78","60"
"FLAGSTAFF","AZ",2021-10-05,"11:33:30","63","40","64","40","64","42"
"FLINT","MI",2021-10-05,"11:33:31",NA,"57","72","60","72","63"
"FORT SMITH","AR",2021-10-05,"11:33:31","85","61","83","60","86","62"
"FORT WAYNE","IN",2021-10-05,"11:33:33",NA,"61","75","63","73","62"
"FRESNO","CA",2021-10-05,"11:33:33","87","60","77","57","75","51"
"GOODLAND","KS",2021-10-05,"11:33:34","82","44","80","47","81","49"
"GRAND JUNCTION","CO",2021-10-05,"11:33:34","78","53","70","50","74","53"
"GRAND RAPIDS","MI",2021-10-05,"11:33:35",NA,"56","73","61","74","62"
"GREAT FALLS","MT",2021-10-05,"11:33:35","85","52","76","42","58","38"
"GREEN BAY","WI",2021-10-05,"11:33:35","69","55","70","57","71","60"
"GREENSBORO","NC",2021-10-05,"11:33:36",NA,"65","79","65","73","63"
"HARRISBURG","PA",2021-10-05,"11:33:38",NA,"63","71","62","73","62"
"HARTFORD","CT",2021-10-05,"11:33:39",NA,"52","71","52","75","54"
"HELENA","MT",2021-10-05,"11:33:39","83","56","72","46","59","44"
"HONOLULU","HI",2021-10-05,"11:33:39","85","74","88","73","87","73"
"HOUSTON","TX",2021-10-05,"11:33:41","88","66","88","66","87","66"
"HUNTSVILLE","AL",2021-10-05,"11:33:42","75","67","76","66","77","62"
"INDIANAPOLIS","IN",2021-10-05,"11:33:42",NA,"64","76","65","74","63"
"JACKSON","MS",2021-10-05,"11:33:43","82","63","82","62","85","63"
"JACKSONVILLE","FL",2021-10-05,"11:33:44",NA,"75","85","73","88","73"
"JUNEAU","AK",2021-10-05,"11:33:44",NA,NA,NA,NA,NA,NA
"KANSAS CITY","MO",2021-10-05,"11:33:45","75","59","74","61","77","61"
"KEY WEST","FL",2021-10-05,"11:33:46",NA,"80","88","80","88","80"
"KNOXVILLE","TN",2021-10-05,"11:33:47",NA,"65","77","64","78","64"
"LAKE CHARLES","LA",2021-10-05,"11:33:48","84","63","84","64","85","64"
"LANSING","MI",2021-10-05,"11:33:48",NA,"56","72","61","74","62"
"LAS VEGAS","NV",2021-10-05,"11:33:49","81","64","83","67","85","68"
"LEXINGTON","KY",2021-10-05,"11:33:50",NA,"64","75","64","74","61"
"LINCOLN","NE",2021-10-05,"11:33:51","78","57","74","56","78","58"
"LITTLE ROCK","AR",2021-10-05,"11:33:51","81","62","77","60","83","62"
"LOS ANGELES","CA",2021-10-05,"11:33:52","79","61","75","61","72","56"
"LOUISVILLE","KY",2021-10-05,"11:33:52",NA,"66","77","65","76","63"
"LUBBOCK","TX",2021-10-05,"11:33:52","84","56","81","59","89","63"
"MACON","MO",2021-10-05,"11:33:53","72","59","71","60","74","56"
"MADISON","WI",2021-10-05,"11:33:54","70","59","73","59","71","60"
"MEDFORD","OR",2021-10-05,"11:33:54","74","45","62","39","66","39"
"MEMPHIS","TN",2021-10-05,"11:33:55","80","64","77","63","80","63"
