"city","state","climate"
"CONCORD","NH","Dfb"
"CORPUS_CHRISTI","TX","Cfa
"DALLAS_FT_WORTH","TX",NA
"DAYTON","OH","Dfa"
"DAYTONA_BEACH","FL","Cfa"
"DENVER","CO","BSk"
"DES_MOINES","IA","Dfa"
"DETROIT","MI","Dfa"
"DULUTH","MN","Dfb"
"EL_PASO","TX","BWk"
"ELKINS","WV","Cfb"
"ERIE","PA","Dfa"
"EUGENE","OR","Csb
"EVANSVILLE","IN","Cfa"
"FAIRBANKS","IN","Cfa"
"FARGO","ND","Dfa/Dfb"
"FLAGSTAFF","AZ","Csb"
"FLINT","MI","Dfb"
"FORT_SMITH","AR","Csb"
"FORT_WAYNE","IN","Dfa"
"FRESNO","CA","Csa"
"GOODLAND","KS","BSk"
"GRAND_JUNCTION","CO","BSk"
"GRAND_RAPIDS","MI","Dfa"
"GREAT_FALLS","MT","BSk"
"GREEN_BAY","WI","Dfb"
"GREENSBORO","NC","Cfa"
"HARRISBURG","PA","Cfa/Dfa"
"HARTFORD_SPGFLD","CT", "Cfa"
"HELENA","MT","BSk"
"HONOLULU","HI","BSh"
"HOUSTON","TX","Cfa"
"HUNTSVILLE","AL","Cfa"
"INDIANAPOLIS","IN","Dfa"
"JACKSON","MS","Cfa"
"JACKSONVILLE","FL","Cfa"
"JUNEAU","AK","Dfb/Dfc"
"KANSAS_CITY","MO","Cfa"
"KEY_WEST","FL","Aw"
"KNOXVILLE","TN","Cfa"
"LAKE_CHARLES","LA","Cfa"
"LANSING","MI","Dfb/Dfa"
"LAS_VEGAS","NV","BWh"
"LEXINGTON","KY","Cfa"
"LINCOLN","NE","Dfa"
"LITTLE_ROCK","AR","Cfa"
"LOS_ANGELES","CA","Csb"
"LOUISVILLE","KY","Cfa"
"LUBBOCK","TX","BSk"
"MACON","MO","Dfa"
"MADISON","WI","Dfa/Dfb"
"MEDFORD","OR","Csa"
"MEMPHIS","TN","Cfa/Cf"
"MIAMI_BEACH","FL","Am"
"MIDLAND_ODESSA","TX","BSa"
"MILWAUKEE","WI","Dfa"
"MPLS_ST_PAUL","MN","Dfa"
"MISSOULA","MT","Dfb"
"MOBILE","AL","Cfa"
"MONTGOMERY","AL","Cfa"
"NASHVILLE","TN","Cfa"
"NEW_ORLEANS","LA","Cfa"
"NEW_YORK_CITY","NY","Cfa"
"NEWARK","NJ","Cfa/Dfa"
"NORFOLK","VA", "Cfa"
"NORTH_PLATTE","NE","Dwa"
"OKLAHOMA_CITY","OK","Cfa"
"OMAHA","NE","Dfa"
"ORLANDO","FL","Cfa"
"PADUCAH","KY","Cfa"
"PENDLETON","OR","BSk"
"PEORIA","IL","Dfa"
"PHILADELPHIA","PA","Cfa"
"PHOENIX","AZ","BWh"
"PITTSBURGH","PA","Dfb"
"POCATELLO","ID","Dfb"
"PORTLAND","ME","Dfb"
"PORTLAND","OR","Csb"
"PROVIDENCE","RI","Dfa"
"PUEBLO","CO","BSk"
"RALEIGH_DURHAM","NC","Cfa"
"RAPID_CITY","SD","BSkw"
"RENO","NV","BSk"
"RICHMOND","CA","Csb"
"ROANOKE","VA","Cfa"
"ROCHESTER","NY","Dfa"
"ROCKFORD","IL","Dfa"
"SACRAMENTO","CA","Csa"
"ST_LOUIS","MO","Cfa"
"ST_PETERSBURG","FL","Cfa"
"ST_THOMAS","VI","Aw"
"SALEM","OR","Csb"
"SALT_LAKE_CITY","UT","Cfa"
"SAN_ANGELO","TX","BSh"
"SAN_ANTONIO","CA","Csb"
"SAN_DIEGO","CA","Csa"
"SAN_FRANCISCO","CA","Csb"
"SAN_JOSE","CA","Csb"
"SAN_JUAN","PR","Bwk"
"SANTA_FE","NM","Bsk"
"ST_STE_MARIE","MI","Dsb"
"SAVANNAH","GA","Cfa"
"SEATTLE","WA","Csb"
"SHREVEPORT","LA","Cfa"
"SIOUX_CITY","IA","Dfa"
"SIOUX_FALLS","SD","Dfa"
"SOUTH_BEND","IN","Dfa"
"SPOKANE","WA","Dsb"
"SPRINGFIELD","IL","Dfa"
"SPRINGFIELD","MO","Cfa"
"SYRACUSE","NY","Dfb"
"TALLAHASSEE","FL","Cfa"
"TAMPA","FL","Cfa"
"TOLEDO","OH","Dfa"
"TOPEKA","KS","Dfa"
"TUCSON","AZ","BWh"
"TULSA","OK","Cfa"
"TUPELO","MS","Cfa"
"WACO","TX","Cfa"
"WASHINGTON, "DC","Cfa"
"W_PALM_BEACH","FL","Af"
"WICHITA","KS","Cfa/Dfa"
"WICHITA_FALLS","TX","Cfa"
"WILKES_BARRE","PA","Dfa"
"WILMINGTON","DE","Cfa"
"YAKIMA","WA","Csb"
"YOUNGSTOWN","OH","Dfb/Dfa"
"YUMA","AZ", "BWh"
