"CITY","STATE","LAT","LON"
"AUGUSTA","GA",33.47,-82.04
"SALMON","ID",45.11667,-113.88333
"PLAINVILLE","KS",39.2347,-99.2982
"SOMERSET","KY",37.05,-84.62
"MALTA","MT",48.36694,-107.91934
"NORFOLK","NE",41.98,-97.44
"OLYMPIA","WA",46.97333,-122.90333
"EAU_CLAIRE","WI",44.87,-91.49
"BETHEL","AK",60.7922,-161.7558
"OLD_HARBOR","AK",57.2028,-153.3039
"JONESBORO","AR",35.84,-90.64
"HOPE","AR",33.46,-93.99
"TORRINGTON","CT",41.94,-72.68
"MIDDLETOWN","CT",41.51,-72.83
"CEDAR_RAPIDS","IA",41.88,-91.72
"MASON_CITY","IA",43.15,-93.33
"HAGERSTOWN","MD",39.71,-77.73
"CUMBERLAND","MD",39.62,-78.76
"ROCHESTER","MN",43.9,-92.49
"BEMIDJI","MN",47.51,-94.93
"HATTIESBURG","MS",31.27,-89.26
"GULFPORT","MS",30.41,-89.08
"TRENTON","NJ",40.28,-74.82
"LAKEWOOD","NJ",40.18,-74.13
"LAS_CRUCES","NM",32.29,-106.92
"CLOVIS","NM",34.38,-103.32
"ELKO","NV",40.82404,-115.78635
"WINNEMUCCA","NV",40.90194,-117.80722
"GUYMON","OK",36.68,-101.51
"LAWTON","OK",34.56,-98.42
"FLORENCE","SC",34.19,-79.73
"GREENVILLE","SC",34.85,-82.35
"WATERTOWN","SD",44.8994,-97.1151
"FORT_THOMPSON","SD",43.77,-99.32
"RICHMOND","VA",37.51,-77.32
"CHARLOTTESVILLE","VA",38.14,-78.46
"MORGANTOWN","WV",39.65,-79.92
"BECKLEY","WV",37.8,-81.12
"BUFFALO","WY",44.38122,-106.71947
"DUBOIS","WY",43.5484,-109.6903
"NEW_CASTLE","DE",39.67,-75.61
"DOVER","DE",39.13,-75.47
"GEORGETOWN","DE",38.69,-75.36
"KALAOA","HI",19.74,-156.05
"KIHEI","HI",20.89,-156.44
"PRINCEVILLE","HI",21.98,-159.34
"WORCESTER","MA",42.27,-71.87
"LAWRENCE","MA",42.71,-71.13
"PITTSFIELD","MA",42.43,-73.29
"AUGUSTA","ME",44.32,-69.8
"BANGOR","ME",44.8,-68.82
"HOULTON","ME",46.12,-67.79
"Williston","ND",48.26,-103.75
"BISMARCK","ND",46.78,-100.76
"GRAND_FORKS","ND",47.95,-97.18
"NASHUA","NH",42.78,-71.51
"LITTLETON","NH",44.37,-71.55
"KEENE","NH",42.9,-72.27
"PONCE","PR",18.5,-67.13
"MAYAGUEZ","PR",18.5,-67.13
"CAGUAS","PR",18.45,-66
"MIDDLETOWN","RI",41.53,-71.28
"GLOCESTER","RI",41.9043,-71.6911
"RICHMOND","RI",41.4945,-71.6708
"ST_GEORGE","UT",37.0965,-113.5684
"GREEN_RIVER","UT",38.418037,-110.704038
"LOGAN","UT",41.78652,-111.85187
"CORAL_BAY","VI",18.348,-64.7132
"CRUZ_BAY","VI",18.34,-64.97
"ST_JOHN","VI",18.3368,-64.7281
"MONTPELIER","VT",44.2,-72.57
"RUTLAND","VT",43.53,-72.95
"NEWPORT","VT",44.89,-72.24
